,Report Number,Report Date,Occur Date,Occur Time,Possible Date,Possible Time,Beat,Apartment Office Prefix,Apartment Number,Location,Shift Occurence,Location Type,UCR Literal,IBR Code,Neighborhood,NPU,Latitude,Longitude
29,90011117,2009-01-01,2008-12-31,2100,2009-01-01,1400.0,307.0,,87,624 AMAL DR SW,Evening Watch,26,LARCENY-FROM VEHICLE,2304,Amal Heights,Y,33.70933,-84.39722
30,90011134,2009-01-01,2008-12-31,1800,2009-01-01,1400.0,602.0,,,819 ASHLAND AVE NE,Day Watch,13,LARCENY-FROM VEHICLE,2304,Inman Park,N,33.75753,-84.36092999999998
31,90010842,2009-01-01,2008-12-22,1500,2009-01-01,1030.0,604.0,,,375 RALPH MCGILL BLVD NE,Day Watch,26,LARCENY-NON VEHICLE,2308,Old Fourth Ward,M,33.76368,-84.37587
32,90011374,2009-01-01,2009-01-01,1700,2009-01-01,1718.0,301.0,,,DILL AVE SW / HARTFORD AVE SW,Evening Watch,13,ROBBERY-PEDESTRIAN,1205,Capitol View,X,33.7183,-84.4169
33,90010996,2009-01-01,2009-01-01,1230,2009-01-01,1240.0,508.0,,,100 PEACHTREE ST NW,Day Watch,13,ROBBERY-PEDESTRIAN,1299G,Downtown,M,33.75685,-84.38859999999998
34,90011535,2009-01-01,2009-01-01,1900,2009-01-01,1923.0,402.0,APT,G-6,1245 DONNELLY AVE SW,Evening Watch,26,ROBBERY-RESIDENCE,1208K,West End,T,33.73388,-84.42812
35,90010638,2009-01-01,2009-01-01,0200,2009-01-01,600.0,402.0,,,966 DIMMOCK ST SW,Day Watch,20,LARCENY-NON VEHICLE,2399,Oakland City,S,33.72667,-84.41946
36,90010946,2009-01-01,2008-12-01,1200,2008-12-31,1400.0,407.0,,,4082 CORNELL BLVD SW,Day Watch,20,LARCENY-NON VEHICLE,2399,Baker Hills,H,33.75963,-84.52118
37,90010965,2009-01-01,2008-12-31,2200,2009-01-01,100.0,511.0,,,65 ALABAMA ST SW @UNDERGROUND ATLANTA,Day Watch,99,LARCENY-NON VEHICLE,2399,Downtown,M,33.75258,-84.38992
38,90011019,2009-01-01,2008-12-31,2100,2008-12-31,2200.0,204.0,,,1715 HOWELL MILL RD NW,Day Watch,12,LARCENY-NON VEHICLE,2399,Berkeley Park,D,33.80089,-84.4157
39,90011135,2009-01-01,2009-01-01,1430,2009-01-01,1430.0,202.0,,,3658 ROSWELL RD NW,Evening Watch,24,LARCENY-NON VEHICLE,2399,Tuxedo Park,A,33.85475,-84.38297
40,90011185,2009-01-01,2008-12-31,0030,2009-01-01,115.0,503.0,,,1150 PEACHTREE ST,Evening Watch,3,LARCENY-NON VEHICLE,2399,Midtown,E,33.78595,-84.3837
41,90011266,2009-01-01,2009-01-01,1600,2009-01-01,1600.0,205.0,,,2197 HOWELL MILL RD NW,Evening Watch,20,LARCENY-NON VEHICLE,2399,Springlake,C,33.81538,-84.4149
42,90010133,2009-01-01,2008-12-31,2200,2008-12-31,2230.0,114.0,,,547 FAIRBURN RD NW,Day Watch,4,AUTO THEFT,2404,Fairburn Heights,H,33.7709,-84.50049
43,90010153,2009-01-01,2008-12-31,2200,2009-01-01,2230.0,403.0,,,1137 AVON AVE SW,Evening Watch,13,AUTO THEFT,2404,Oakland City,S,33.72235,-84.42489999999998
44,90010359,2009-01-01,2008-12-31,2230,2009-01-01,230.0,512.0,,,174 PEACHTREE ST,Morning Watch,18,AUTO THEFT,2404,Downtown,M,33.74954,-84.39382999999998
45,90010365,2009-01-01,2009-01-01,0230,2009-01-01,235.0,111.0,,,3458 DELMAR LN NW,Morning Watch,18,AUTO THEFT,2404,Adamsville,H,33.75686,-84.50064
46,90010417,2009-01-01,2008-12-31,2000,2009-01-01,300.0,304.0,,,2323 DEFOOR HILLS RD,Day Watch,3,AUTO THEFT,2404,Summerhill,V,33.74485,-84.39005
47,90010422,2009-01-01,2008-12-31,2130,2009-01-01,100.0,508.0,,,MARIETTA ST NW / SPRING ST NW,Morning Watch,18,AUTO THEFT,2404,Downtown,M,33.75699,-84.39266999999998
48,90010545,2009-01-01,2009-01-01,0015,2009-01-01,400.0,305.0,,,93 BISBEE AVE SE,Morning Watch,13,AUTO THEFT,2404A,South Atlanta,Y,33.71636,-84.38513
49,90010704,2009-01-01,2008-12-31,2100,2009-01-01,745.0,406.0,,,3444 LYNFIELD DR SW,Day Watch,20,AUTO THEFT,2404,Green Forest Acres,I,33.73224,-84.50118999999998
50,90010769,2009-01-01,2009-01-01,0500,2009-01-01,800.0,305.0,,107,201 MOURY AVE SW,Day Watch,26,AUTO THEFT,2404,The Villages at Carver,Y,33.71691,-84.39275999999998
51,90010773,2009-01-01,2009-01-01,0910,2009-01-01,925.0,612.0,,,720 CLIFTON RD SE,Day Watch,20,AUTO THEFT,2404,East Atlanta,W,33.73445,-84.32966999999998
52,90010814,2009-01-01,2009-01-01,0600,2009-01-01,1009.0,310.0,,1403,585 MCWILLIAMS RD SE,Day Watch,26,AUTO THEFT,2404A,Browns Mill Park,Z,33.68869,-84.36880999999998
53,90010881,2009-01-01,2008-12-31,2230,2009-01-01,1100.0,306.0,,2102,1150 ASTOR AVE SW,Day Watch,26,AUTO THEFT,2404A,Sylvan Hills,X,33.70137,-84.42677999999998
54,90010935,2009-01-01,2009-01-01,0200,2009-01-01,220.0,501.0,,,HOWELL MILL & 10TH STREET NW,Day Watch,13,AUTO THEFT,2404,Home Park,E,33.78157,-84.41115
55,90010939,2009-01-01,2009-01-01,0200,2009-01-01,1154.0,411.0,,R-2,3000 STONE HOGAN CONN SW,Day Watch,18,AUTO THEFT,2404,Greenbriar,R,33.67424,-84.49697
56,90010949,2009-01-01,2008-12-31,2200,2009-01-01,1300.0,108.0,,A-4,150 FAIRFIELD PL NW,Day Watch,26,AUTO THEFT,2404,Dixie Hills,J,33.7581,-84.46325
57,90011324,2009-01-01,2009-01-01,1000,2009-01-01,1640.0,510.0,APT,702,210 AUBURN AVE NE,Evening Watch,18,AUTO THEFT,2404,Downtown,M,33.75563,-84.38092
58,90011621,2009-01-01,2009-01-01,2030,2009-01-01,2040.0,608.0,APT,B,262 CONNECTICUT AVE NE,Evening Watch,13,AUTO THEFT,2404,Lake Claire,N,33.76137,-84.32922999999998
59,90011683,2009-01-01,2009-01-01,2100,2009-01-01,2300.0,609.0,,,1275 CAROLINE STREET,Evening Watch,18,AUTO THEFT,2404A,Edgewood,O,33.75539,-84.34202999999998
60,90011711,2009-01-01,2009-01-01,2200,2009-01-01,2200.0,301.0,,,791 ERIN AVE SW,Morning Watch,20,AUTO THEFT,2404,Capitol View,X,33.71945,-84.41372
61,90011728,2009-01-01,2009-01-01,1500,2009-01-01,2100.0,305.0,,2002,177 MOURY AVE SW,Evening Watch,18,AUTO THEFT,2404,The Villages at Carver,Y,33.71348,-84.39051999999998
62,90011768,2009-01-01,2009-01-01,2115,2009-01-01,2145.0,114.0,,,521 FAIRLANE CIR NW,Evening Watch,18,AUTO THEFT,2404,Fairburn Heights,H,33.76837,-84.50082999999998
63,90010831,2009-01-01,2009-01-01,0400,2009-01-01,1000.0,304.0,,3,16 VANIRA AVE SE,Day Watch,26,AUTO THEFT,2424A,Peoplestown,V,33.72951,-84.38735
64,90010962,2009-01-01,2008-12-30,1700,2008-12-31,1000.0,304.0,,,185 SOUTH AVE SE,Evening Watch,20,AUTO THEFT,2424,Summerhill,V,33.73222,-84.38173
65,90011315,2009-01-01,2008-12-31,2200,2009-01-01,1530.0,404.0,,,597 WILLARD AVE SW,Day Watch,20,AUTO THEFT,2424,Westview,T,33.7391,-84.43743
66,90011439,2009-01-01,2009-01-01,0001,2009-01-01,1200.0,304.0,,,1575 WESTWOOD AVE SW,Day Watch,13,AUTO THEFT,2424,Peoplestown,V,33.72828,-84.38787
