,Report Number,Report Date,Occur Date,Occur Time,Possible Date,Possible Time,Beat,Apartment Office Prefix,Apartment Number,Location,Shift Occurence,Location Type,UCR Literal,IBR Code,Neighborhood,NPU,Latitude,Longitude
4133,90380398,2009-02-07,2009-02-06,1515,2009-02-07,400.0,414.0,,N-215,3390 FAIRBURN RD SW,Morning Watch,26,BURGLARY-RESIDENCE,2202,Ben Hill,P,33.6639,-84.52377
4134,90380533,2009-02-07,2009-02-06,2300,2009-02-07,400.0,614.0,,,418 4TH ST NE,Day Watch,20,BURGLARY-RESIDENCE,2202,Midtown,E,33.7747,-84.37350999999998
4135,90380778,2009-02-07,2008-11-30,0800,2009-02-07,1135.0,302.0,,,810 HUMPHRIES ST SW,Day Watch,20,BURGLARY-RESIDENCE,2202,Pittsburgh,V,33.73286,-84.40531
4136,90380802,2009-02-07,2009-02-07,1130,2009-02-07,1145.0,602.0,,,677 SOMERSET TER NE,Unknown,26,BURGLARY-RESIDENCE,2202,Poncey-Highland,N,33.77297,-84.36185
4137,90380834,2009-02-07,2009-02-07,1030,2009-02-07,1220.0,302.0,,,1012 WELCH ST SW,Day Watch,20,BURGLARY-RESIDENCE,2202,Pittsburgh,V,33.72732,-84.40461999999998
4138,90380921,2009-02-07,2009-02-06,1200,2009-02-07,1311.0,406.0,,,631 LYNN VALLEY RD SW,Morning Watch,20,BURGLARY-RESIDENCE,2202,,I,33.73839,-84.48487
4139,90380949,2009-02-07,2009-02-06,1800,2009-02-07,1200.0,608.0,,,2092 DEKALB AVE NE,Day Watch,20,BURGLARY-RESIDENCE,2202,Lake Claire,N,33.76367,-84.31897999999998
4140,90381560,2009-02-07,2009-02-07,1430,2009-02-07,1830.0,302.0,,,1137 FORTRESS AVE,Evening Watch,20,BURGLARY-RESIDENCE,2202,Pittsburgh,V,33.72374,-84.39471
4141,90381638,2009-02-07,2009-02-07,1525,2009-02-07,1600.0,605.0,,,524 CONNALLY ST SE,Evening Watch,20,BURGLARY-RESIDENCE,2202,Grant Park,W,33.74036,-84.38137
4142,90381652,2009-02-07,2009-02-06,1930,2009-02-07,1900.0,302.0,,,871 SIMS ST SW,Evening Watch,20,BURGLARY-RESIDENCE,2202,Pittsburgh,V,33.7311,-84.4033
4143,90381746,2009-02-07,2009-02-07,1940,2009-02-07,2020.0,113.0,,,1254 WILKES CIR NW,Evening Watch,36,BURGLARY-RESIDENCE,2202,Brookview Heights,G,33.78504,-84.47976
4144,90382086,2009-02-07,2009-02-04,2300,2009-02-07,2330.0,103.0,,F,1751 MARIETTA RD NW,Morning Watch,20,BURGLARY-RESIDENCE,2202,Hills Park,D,33.8035,-84.44401999999998
4145,90382103,2009-02-07,2009-02-07,1700,2009-02-07,2350.0,302.0,,1324,765 MCDANIEL ST SW,Morning Watch,20,BURGLARY-RESIDENCE,2202,Pittsburgh,V,33.73396,-84.40177
4146,90380797,2009-02-07,2009-02-06,1030,2009-02-07,1100.0,110.0,,,2468 MAIN ST NW,Day Watch,20,AGG ASSAULT,1315,Scotts Crossing,G,33.80339,-84.46940999999998
4147,90380852,2009-02-07,2009-02-07,1200,2009-02-07,1230.0,507.0,,,316 PETERS ST SW,Day Watch,18,AGG ASSAULT,1315,Castleberry Hill,M,33.74593,-84.403
4148,90381067,2009-02-07,2009-02-07,1437,2009-02-07,1500.0,609.0,,,1515 HARDEE ST NE,Evening Watch,13,AGG ASSAULT,1315,Edgewood,O,33.75528,-84.33804999999998
4149,90381594,2009-02-07,2009-02-07,1900,2009-02-07,1906.0,312.0,,,454 OAK DR SE,Evening Watch,13,AGG ASSAULT,1315,Orchard Knob,Z,33.66754,-84.37872
4150,90380238,2009-02-07,2009-02-07,0200,2009-02-07,211.0,401.0,,1,1058 OGLETHORPE AVE SW,Morning Watch,26,AGG ASSAULT,1399,West End,T,33.7357,-84.42229
4151,90380393,2009-02-07,2009-02-07,0300,2009-02-07,310.0,212.0,,,I-85 NB EXPY NE @ BUFORD HWY NE,Morning Watch,13,AGG ASSAULT,1399,Lindridge/Martin Manor,F,33.82267,-84.35754
4152,90380242,2009-02-07,2009-02-07,0208,2009-02-07,213.0,212.0,,,949 LINDBERGH DR NE,Morning Watch,13,ROBBERY-PEDESTRIAN,1204,Lindridge/Martin Manor,F,33.81991,-84.35673
4153,90380351,2009-02-07,2009-02-07,0325,2009-02-07,329.0,110.0,,,1677 DONALD LEE HOLLOWELL PKWY NW,Morning Watch,18,ROBBERY-PEDESTRIAN,1204,Grove Park,J,33.77327,-84.44224
4154,90380363,2009-02-07,2009-02-07,0329,2009-02-07,345.0,306.0,,,1919 METROPOLITAN PKWY SW,Morning Watch,3,ROBBERY-PEDESTRIAN,1204,Sylvan Hills,X,33.70278,-84.41016999999998
4155,90381735,2009-02-07,2009-02-07,2040,2009-02-07,2050.0,305.0,,,1392 PARK AVE,Evening Watch,13,ROBBERY-PEDESTRIAN,1204,Chosewood Park,Y,33.71993,-84.37026
4156,90381751,2009-02-07,2009-02-07,2000,2009-02-07,2100.0,607.0,,,680 CASANOVA ST SE,Evening Watch,20,ROBBERY-PEDESTRIAN,1204,Benteen Park,W,33.71608,-84.36591
4157,90380498,2009-02-07,2009-02-07,0719,2009-02-07,740.0,204.0,,5,1505 CHATTAHOOCHEE AVE NW,Day Watch,20,ROBBERY-RESIDENCE,1207,Bolton,D,33.80906,-84.43651
4158,90381182,2009-02-07,2009-02-07,1545,2009-02-07,1552.0,401.0,,A,930 WHITE ST SW,Evening Watch,20,ROBBERY-RESIDENCE,1207,West End,T,33.73202,-84.41825
4159,90380271,2009-02-07,2009-02-07,0233,2009-02-07,233.0,409.0,,,3131 CAMPBELLTON RD SW,Morning Watch,3,AGG ASSAULT,1314,Southwest,R,33.69258,-84.49266
4160,90380321,2009-02-07,2009-02-07,0300,2009-02-07,310.0,112.0,,,1100 HARWELL RD,Morning Watch,13,AGG ASSAULT,1314,Collier Heights,I,33.78563,-84.49159
4161,90381850,2009-02-07,2009-02-07,2130,2009-02-07,2135.0,104.0,,,984 CAMILLA ST SW,Evening Watch,20,AGG ASSAULT,1314,Ashview Heights,T,33.75028,-84.41984999999998
4162,90381854,2009-02-07,2009-02-07,2139,2009-02-07,2145.0,311.0,,,2905 SPRINGDALE RD SW,Evening Watch,26,AGG ASSAULT,1314,Hammond Park,X,33.67575,-84.41630999999998
4163,90382038,2009-02-07,2009-02-07,2320,2009-02-07,2327.0,412.0,,,3478 INGLEDALE DR SW,Morning Watch,20,AGG ASSAULT,1314,Heritage Valley,P,33.70482,-84.50033
4164,90381871,2009-02-07,2009-02-07,2145,2009-02-07,2150.0,412.0,,,3721 CAMPBELLTON RD SW,Evening Watch,7,ROBBERY-COMMERCIAL,1201,Ben Hill Acres,P,33.69136,-84.51036999999998
4165,90381760,2009-02-07,2009-02-07,2015,2009-02-07,2036.0,310.0,,,2586 LOIS LN SE,Evening Watch,20,HOMICIDE,0911,Browns Mill Park,Z,33.68432,-84.38711999999998
4166,90381105,2009-02-07,2009-02-07,0200,2009-02-07,800.0,614.0,,12,345 7TH ST NE,Evening Watch,26,AUTO THEFT,2424,Midtown,E,33.77774,-84.37591
4167,90381953,2009-02-07,2009-02-07,2219,2009-02-07,2220.0,303.0,,,608 MCDANIEL ST SW,Morning Watch,18,AUTO THEFT,2424,Mechanicsville,V,33.73828,-84.40148999999998
4168,90380830,2009-02-07,2009-02-03,1200,2009-02-07,1239.0,307.0,,,1704 OAK KNOLL CIR SE,Day Watch,20,AUTO THEFT,2434,Lakewood Heights,Y,33.7093,-84.37706
4169,90380062,2009-02-07,2009-02-07,0015,2009-02-07,25.0,304.0,,,172 ORMOND ST SE,Morning Watch,13,ROBBERY-PEDESTRIAN,1206,Summerhill,V,33.73179,-84.38232
4170,90380843,2009-02-07,2009-02-07,1200,2009-02-07,1230.0,607.0,,,1362 BOULEVARD SE,Day Watch,18,ROBBERY-PEDESTRIAN,1206,Benteen Park,W,33.71744,-84.36817999999998
4171,90380992,2009-02-07,2009-02-07,1345,2009-02-07,1350.0,305.0,APT,D,1290 PARK AVE SE,Day Watch,26,ROBBERY-PEDESTRIAN,1206,Chosewood Park,Y,33.71941,-84.37036999999998
4172,90380638,2009-02-07,2009-02-06,1800,2009-02-07,1000.0,612.0,,,569 BROWNWOOD AVE SE,Day Watch,20,AUTO THEFT,2404,East Atlanta,W,33.73878,-84.34829999999998
4173,90380650,2009-02-07,2009-02-07,0300,2009-02-07,1008.0,407.0,,8,3627 GINNIS RD SW,Morning Watch,18,AUTO THEFT,2404,Fairburn Mays,H,33.73178,-84.51247999999998
4174,90381079,2009-02-07,2009-02-07,0030,2009-02-07,300.0,511.0,,,95 MARTIN L KING JR DR,Morning Watch,18,AUTO THEFT,2404,Downtown,M,33.75161,-84.39112
4175,90381695,2009-02-07,2009-02-07,1915,2009-02-07,1930.0,211.0,,,2625 PIEDMONT RD NE,Evening Watch,18,AUTO THEFT,2404,Lindbergh/Morosgo,B,33.82742,-84.36531999999998
4176,90381834,2009-02-07,2009-02-07,1400,2009-02-07,2100.0,613.0,,G-4,1616 PIEDMONT,Evening Watch,18,AUTO THEFT,2404,Piedmont Heights,F,33.79884,-84.36815
4177,90380608,2009-02-07,2008-09-01,0001,2009-02-07,930.0,307.0,,,1885 JONESBORO RD SE;,Day Watch,18,LARCENY-NON VEHICLE,2399,Lakewood Heights,Y,33.7032,-84.37701
4178,90380781,2009-02-07,2009-02-07,0900,2009-02-07,1000.0,404.0,,,1567 ROGERS AVE SW,Day Watch,20,LARCENY-NON VEHICLE,2399,Westview,T,33.73756,-84.43904999999998
4179,90381612,2009-02-07,2009-02-07,0200,2009-02-07,600.0,208.0,,322,3560 PIEDMONT RD NE,Unknown,26,LARCENY-NON VEHICLE,2399,Buckhead Forest,B,33.8512,-84.37949
4180,90380827,2009-02-07,2009-02-07,0130,2009-02-07,300.0,503.0,,8,1100 PIEDMONT AVE NE,Day Watch,26,LARCENY-NON VEHICLE,2308,Midtown,E,33.78476,-84.37877
4181,90380859,2009-02-07,2009-02-07,0500,2009-02-07,1200.0,504.0,APT,5107,950 MARIETTA ST NW,Day Watch,24,LARCENY-NON VEHICLE,2308,Marietta Street Artery,E,33.77689,-84.40806999999998
4182,90380694,2009-02-07,2009-02-06,2200,2009-02-07,1000.0,112.0,,,2905 COLLIER DR NW,Morning Watch,20,LARCENY-FROM VEHICLE,2304,Collier Heights,I,33.7646,-84.482
4183,90381289,2009-02-07,2009-02-07,1400,2009-02-07,1500.0,503.0,,1528,943 PEACHTREE ST NE,Evening Watch,26,LARCENY-FROM VEHICLE,2304,Midtown,E,33.78041,-84.38402
4184,90381640,2009-02-07,2009-02-06,1700,2009-02-07,1900.0,605.0,,4,301 ATLANTA AVE SE,Evening Watch,13,LARCENY-FROM VEHICLE,2304,Grant Park,W,33.73022,-84.37788999999998
4185,90382047,2009-02-07,2009-02-07,2200,2009-02-07,2200.0,108.0,,,1805 TIGER FLOWERS DR NW,Morning Watch,20,LARCENY-FROM VEHICLE,2304,Dixie Hills,J,33.75998,-84.44621999999998
4186,90380246,2009-02-07,2009-02-07,0130,2009-02-07,216.0,511.0,,,65 ALABAMA ST SW @UNDERGROUND ATLANTA,Morning Watch,18,LARCENY-FROM VEHICLE,2305,Downtown,M,33.75258,-84.38992
4187,90380316,2009-02-07,2009-02-07,0045,2009-02-07,300.0,511.0,,,75 MARTIN LUTHER KING,Morning Watch,18,LARCENY-FROM VEHICLE,2305,Downtown,M,33.75119,-84.38996
4188,90380380,2009-02-07,2009-02-07,0345,2009-02-07,401.0,511.0,,,95 PRYOR ST SW,Morning Watch,18,LARCENY-FROM VEHICLE,2305,Downtown,M,33.75215,-84.39051
4189,90380455,2009-02-07,2009-02-07,0030,2009-02-07,557.0,612.0,,,1540 MCPHERSON AVE SE,Morning Watch,20,LARCENY-FROM VEHICLE,2305,East Atlanta,W,33.74416,-84.33724999999998
4190,90380477,2009-02-07,2009-02-06,2300,2009-02-07,655.0,509.0,,,36 HARRIS ST NE,Day Watch,18,LARCENY-FROM VEHICLE,2305,Downtown,M,33.76074,-84.38561
4191,90380534,2009-02-07,2009-02-06,1900,2009-02-07,800.0,506.0,,6,412 JAMES P BRAWLEY DR NW,Day Watch,18,LARCENY-FROM VEHICLE,2305,English Avenue,L,33.7658,-84.41269
4192,90380580,2009-02-07,2009-02-06,2300,2009-02-07,900.0,211.0,,3201,740 SIDNEY MARCUS BLVD NE,Day Watch,18,LARCENY-FROM VEHICLE,2305,Lindbergh/Morosgo,B,33.82598,-84.36334999999998
4193,90380661,2009-02-07,2009-02-06,2000,2009-02-07,800.0,604.0,,,728 HIGHLAND AVE NE,Day Watch,13,LARCENY-FROM VEHICLE,2305,Old Fourth Ward,M,33.76157,-84.36342999999998
4194,90380727,2009-02-07,2009-02-06,1700,2009-02-06,2020.0,614.0,,,458 PONCE DE LEON AVE NE,Evening Watch,13,LARCENY-FROM VEHICLE,2305,Midtown,E,33.77375,-84.37196
4195,90380746,2009-02-07,2009-02-07,0100,2009-02-07,600.0,610.0,,,1655 HOSEA L WILLIAMS DR SE,Day Watch,20,LARCENY-FROM VEHICLE,2305,Kirkwood,O,33.75307,-84.33338999999998
4196,90380747,2009-02-07,2009-02-07,1050,2009-02-07,1059.0,609.0,,D-100,1210 CAROLINE ST NE,Day Watch,18,LARCENY-FROM VEHICLE,2305,Edgewood,O,33.75851,-84.34829
4197,90380773,2009-02-07,2009-02-07,1130,2009-02-07,1145.0,602.0,,,1001 PONCE DE LEON AVE NE,Day Watch,12,LARCENY-FROM VEHICLE,2305,Poncey-Highland,N,33.7734,-84.35467
4198,90380786,2009-02-07,2009-02-07,0330,2009-02-07,730.0,610.0,,,166 ELEANOR ST SE,Day Watch,13,LARCENY-FROM VEHICLE,2305,Kirkwood,O,33.74836,-84.32405
4199,90381376,2009-02-07,2009-02-07,1600,2009-02-07,1712.0,304.0,,,GEORGIA AVE SE / AMI ST SE,Evening Watch,13,LARCENY-FROM VEHICLE,2305,Summerhill,V,33.73677,-84.38232999999998
4200,90381507,2009-02-07,2009-02-07,1600,2009-02-07,1815.0,501.0,,,1009 HOWELL MILL RD NW,Evening Watch,13,LARCENY-FROM VEHICLE,2305,Home Park,E,33.78257,-84.41145
4201,90381788,2009-02-07,2009-02-06,1030,2009-02-07,830.0,112.0,,,257 CHALMERS DR,Evening Watch,26,LARCENY-FROM VEHICLE,2305,Collier Heights,I,33.76239,-84.47669999999998
4202,90381806,2009-02-07,2009-02-07,1800,2009-02-07,2105.0,209.0,,,50 OLD IVY RD NE,Evening Watch,18,LARCENY-FROM VEHICLE,2305,North Buckhead,B,33.85469,-84.38105
4203,90381828,2009-02-07,2009-02-07,1800,2009-02-07,2015.0,511.0,,,75 MARITN L KING JR DR,Evening Watch,18,LARCENY-FROM VEHICLE,2305,Downtown,M,33.75115,-84.39033
4204,90381982,2009-02-07,2009-02-07,2100,2009-02-07,2256.0,613.0,,,1512 PIEDMONT AVE NE,Morning Watch,18,LARCENY-FROM VEHICLE,2305,Piedmont Heights,F,33.79619,-84.37048
4205,90382053,2009-02-07,2009-02-07,2330,2009-02-07,2335.0,212.0,,,2350 CHESHIRE BRIDGE RD NE,Morning Watch,9,LARCENY-FROM VEHICLE,2305,Lindridge/Martin Manor,F,33.81981,-84.35250999999998
4206,90380138,2009-02-07,2009-02-06,1900,2009-02-07,110.0,501.0,,,962 HOWELL MILL RD NW,Morning Watch,99,BURGLARY-NONRES,2203A,Home Park,E,33.78099,-84.41109
4207,90381032,2009-02-07,2009-02-07,0443,2009-02-07,443.0,205.0,,,2284 PEACHTREE RD NW,Evening Watch,24,BURGLARY-NONRES,2203A,,C,33.81664,-84.39011
4208,90380642,2009-02-07,2009-02-07,1000,2009-02-07,1015.0,602.0,,,1001 PONCE DE LEON AVE NE,Day Watch,12,LARCENY-NON VEHICLE,2303,Poncey-Highland,N,33.7734,-84.35467
4209,90380854,2009-02-07,2009-02-07,1135,2009-02-07,1135.0,609.0,,,1210 CAROLINE ST NE;,Day Watch,24,LARCENY-NON VEHICLE,2303,Edgewood,O,33.75938,-84.34863
4210,90380942,2009-02-07,2009-02-07,1400,2009-02-07,1400.0,609.0,,,1225 CAROLINE ST NE,Day Watch,12,LARCENY-NON VEHICLE,2303,Edgewood,O,33.75605,-84.34813
4211,90381241,2009-02-07,2009-02-07,1600,2009-02-07,1615.0,210.0,,,3393 PEACHTREE RD NE ;BLOOMINGDALES,Evening Watch,8,LARCENY-NON VEHICLE,2303,Lenox,B,33.84676,-84.36212
4212,90381666,2009-02-07,2009-02-07,1940,2009-02-07,1950.0,405.0,,D,3050 MARTIN L KING JR DR SW,Evening Watch,8,LARCENY-NON VEHICLE,2303,Harland Terrace,I,33.75225,-84.48671
4213,90381935,2009-02-07,2009-02-07,2222,2009-02-07,2224.0,110.0,,,2480 ARNO DR NW,Evening Watch,7,LARCENY-NON VEHICLE,2303,Carver Hills,G,33.79897,-84.46929
4214,90390743,2009-02-08,2009-02-08,1200,2009-02-08,1208.0,603.0,,,595 PIEDMONT AVE NE,Day Watch,12,LARCENY-NON VEHICLE,2303,Old Fourth Ward,M,33.77067,-84.38022999999998
4215,90391023,2009-02-08,2009-02-08,1515,2009-02-08,1545.0,212.0,,,2320 CHESHIRE BRIDGE RD NE,Evening Watch,23,LARCENY-NON VEHICLE,2303,Lindridge/Martin Manor,F,33.81816,-84.35210999999998
4216,90391043,2009-02-08,2009-02-08,1500,2009-02-08,1600.0,609.0,,,1275 CAROLINE ST NE,Evening Watch,8,LARCENY-NON VEHICLE,2303,Edgewood,O,33.75674,-84.34619
4217,90391235,2009-02-08,2009-02-08,1702,2009-02-08,1705.0,210.0,,,3393 PEACHTREE RD NE,Evening Watch,11,LARCENY-NON VEHICLE,2303,Lenox,B,33.84676,-84.36212
4218,90391254,2009-02-08,2009-02-08,1730,2009-02-08,1735.0,603.0,,,595 PIEDMONT AVE NE,Evening Watch,12,LARCENY-NON VEHICLE,2303,Old Fourth Ward,M,33.77067,-84.38022999999998
4219,90391287,2009-02-08,2009-02-08,1740,2009-02-08,1745.0,210.0,,,3393 PEACHTREE RD NE,Evening Watch,8,LARCENY-NON VEHICLE,2303,Lenox,B,33.84676,-84.36212
4220,90391415,2009-02-08,2009-02-08,1919,2009-02-08,1920.0,204.0,,100,1801 HOWELL MILL RD NW,Unknown,,LARCENY-NON VEHICLE,2303,Berkeley Park,D,33.80448,-84.41348
4221,90391641,2009-02-08,2009-02-08,2255,2009-02-08,2300.0,309.0,,,2685 METROPOLITAN PKWY SW,Morning Watch,12,LARCENY-NON VEHICLE,2303,Perkerson,X,33.68274,-84.40902
4222,90390348,2009-02-08,2009-02-08,0408,2009-02-08,408.0,106.0,,,1015 W MARIETTA ST NW,Morning Watch,17,BURGLARY-NONRES,2203A,Knight Park/Howell Station,K,33.78518,-84.42022
4223,90390048,2009-02-08,2009-02-07,2030,2009-02-08,24.0,509.0,,,RALPH MCGILL BLVD NE / COURTLAND ST NE,Morning Watch,18,LARCENY-FROM VEHICLE,2305,Downtown,M,33.76435,-84.38413
4224,90390142,2009-02-08,2009-02-08,0120,2009-02-08,129.0,406.0,,,584 FIELDING LANE,Morning Watch,18,LARCENY-FROM VEHICLE,2305,Peyton Forest,I,33.74119,-84.48292999999998
4225,90390329,2009-02-08,2009-02-08,0300,2009-02-08,320.0,610.0,,,2182 OAKVIEW RD SE ,Morning Watch,13,LARCENY-FROM VEHICLE,2305,Kirkwood,O,33.7498,-84.31596
4226,90390522,2009-02-08,2009-02-08,0230,2009-02-08,840.0,209.0,,,1216 CHASTAIN DR NE,Morning Watch,18,LARCENY-FROM VEHICLE,2305,East Chastain Park,B,33.86714,-84.38205999999998
4227,90390554,2009-02-08,2009-02-08,0900,2009-02-08,920.0,604.0,,,573 EDGEWOOD AVE SE,Day Watch,18,LARCENY-FROM VEHICLE,2305,Old Fourth Ward,M,33.75409,-84.36862999999998
4228,90390577,2009-02-08,2009-02-08,0000,2009-02-08,930.0,209.0,,F,295 LAKEMOORE DR NE,Morning Watch,13,LARCENY-FROM VEHICLE,2305,North Buckhead,B,33.86536,-84.37779999999998
4229,90390583,2009-02-08,2009-02-07,2200,2009-02-08,945.0,307.0,,,1939 FREEMONT ST SE;,Day Watch,20,LARCENY-FROM VEHICLE,2305,Lakewood Heights,Y,33.70129,-84.37881
4230,90390648,2009-02-08,2009-02-07,2300,2009-02-08,1000.0,302.0,,,992 COLEMAN ST SW,Day Watch,13,LARCENY-FROM VEHICLE,2305,Pittsburgh,V,33.72785,-84.40379
4231,90390745,2009-02-08,2009-02-01,0800,2009-02-01,1700.0,507.0,,,215 PETERS ST SW,Day Watch,13,LARCENY-FROM VEHICLE,2305,Castleberry Hill,M,33.74875,-84.4004
4232,90390895,2009-02-08,2009-02-08,1300,2009-02-08,1500.0,506.0,,,800 W MARIETTA ST NW,Evening Watch,18,LARCENY-FROM VEHICLE,2305,English Avenue,L,33.78022,-84.41513999999998
4233,90390932,2009-02-08,2009-02-08,1300,2009-02-08,1400.0,414.0,,,3760 PRINCETON LAKES PKWY SW,Evening Watch,18,LARCENY-FROM VEHICLE,2305,Princeton Lakes,P,33.65774,-84.50897
4234,90390982,2009-02-08,2009-02-08,1500,2009-02-08,1530.0,511.0,,,94 PRYOR ST,Day Watch,18,LARCENY-FROM VEHICLE,2305,Downtown,M,33.75199,-84.39024
4235,90391018,2009-02-08,2009-02-08,1300,2009-02-08,1500.0,508.0,,,BAKER ST NE / PEACHTREE ST NE,Evening Watch,18,LARCENY-FROM VEHICLE,2305,Downtown,M,33.76226,-84.38755
4236,90391039,2009-02-08,2009-02-08,1200,2009-02-08,1330.0,610.0,,,3760 PRINCETON LAKES PKWY,Evening Watch,18,LARCENY-FROM VEHICLE,2305,Kirkwood,O,33.75532,-84.3232
4237,90391113,2009-02-08,2009-02-08,1427,2009-02-08,1527.0,510.0,,,192 PEACHTREE CENTER AVE NE,Evening Watch,18,LARCENY-FROM VEHICLE,2305,Downtown,M,33.75942,-84.3865
4238,90391218,2009-02-08,2009-02-08,0200,2009-02-08,1700.0,506.0,,239,800 W MARIETTA ST NW,Evening Watch,18,LARCENY-FROM VEHICLE,2305,English Avenue,L,33.78022,-84.41513999999998
4239,90391264,2009-02-08,2009-02-08,1500,2009-02-08,1730.0,614.0,,,929 CHARLES ALLEN DR NE,Evening Watch,18,LARCENY-FROM VEHICLE,2305,Midtown,E,33.78119,-84.37151
4240,90391294,2009-02-08,2009-02-08,1530,2009-02-08,1800.0,508.0,,,CONE ST NW / WILLIAMS ST NW,Evening Watch,13,LARCENY-FROM VEHICLE,2305,Downtown,M,33.75829,-84.38952
4241,90391404,2009-02-08,2009-02-08,0820,2009-02-08,1620.0,509.0,,,221 PEACHTREE CENTER AVE NE,Evening Watch,18,LARCENY-FROM VEHICLE,2305,Downtown,M,33.76045,-84.38556
4242,90391437,2009-02-08,2009-02-08,1700,2009-02-08,1948.0,613.0,,1,1369 WESSYNGTON RD NE;,Evening Watch,18,LARCENY-FROM VEHICLE,2305,Morningside/Lenox Park,F,33.79221,-84.35478999999998
4243,90391226,2009-02-08,2009-02-08,1720,2009-02-08,1720.0,0.0,,,2400 CONSTITUTION RD SE,Evening Watch,18,LARCENY-FROM VEHICLE,2304,,,33.69262,-84.34945999999998
4244,90391506,2009-02-08,2009-02-08,0800,2009-02-08,1400.0,408.0,,102,1830 CAMPBELLTON RD SW,Day Watch,18,LARCENY-FROM VEHICLE,2304,,R,33.70994,-84.44833
4245,90391572,2009-02-08,2009-02-08,2100,2009-02-08,2130.0,508.0,,,161 SPRING ST NW,Morning Watch,18,LARCENY-FROM VEHICLE,2304,Downtown,M,33.75879,-84.38975
4246,90391019,2009-02-08,2009-02-08,1518,2009-02-08,1518.0,607.0,,,1241 MORELAND AVE SE,Evening Watch,24,LARCENY-NON VEHICLE,2308,Woodland Hills,W,33.72055,-84.35044999999998
4247,90391146,2009-02-08,2009-02-06,0000,2009-02-07,400.0,502.0,,,BUFORD HWY NW / 19TH ST NW,Evening Watch,99,LARCENY-NON VEHICLE,2308,Midtown,E,33.79478,-84.38804
4248,90391395,2009-02-08,2009-01-18,2100,2009-01-18,2330.0,206.0,,,3167 PEACHTREE RD NE,Evening Watch,21,LARCENY-NON VEHICLE,2308,Buckhead Village,B,33.84031,-84.37587999999998
4249,90391479,2009-02-08,2009-02-08,1755,2009-02-08,1955.0,508.0,,920,45 IVAN ALLEN JR BLVD NE,Evening Watch,14,LARCENY-NON VEHICLE,2308,Downtown,M,33.76457,-84.38619
4250,90391658,2009-02-08,2009-02-08,2240,2009-02-08,2300.0,508.0,,5,210 PEACHTREE ST NW,Morning Watch,14,LARCENY-NON VEHICLE,2308,Downtown,M,33.75946,-84.38769
4251,90381973,2009-02-08,2009-02-07,1930,2009-02-07,2030.0,210.0,,,3393 PEACHTREE RD NE,Evening Watch,8,LARCENY-NON VEHICLE,2399,Lenox,B,33.84676,-84.36212
4252,90390542,2009-02-08,2009-02-08,0900,2009-02-08,915.0,404.0,,,1626 ROGERS AVE SW,Unknown,20,LARCENY-NON VEHICLE,2399,Westview,T,33.73706,-84.44153
4253,90390599,2009-02-08,2009-02-07,1900,2009-02-08,800.0,104.0,,,1127 FAIR ST SW,Morning Watch,20,LARCENY-NON VEHICLE,2399,Ashview Heights,T,33.74927,-84.42452
4254,90390446,2009-02-08,2009-02-07,2100,2009-02-08,700.0,411.0,,C5,3000 STONE HOGAN CONN SW,Day Watch,26,AUTO THEFT,2404,Greenbriar,R,33.67424,-84.49697
4255,90390452,2009-02-08,2009-02-08,0715,2009-02-08,735.0,112.0,,,2728 SANTA BARBARA DR NW,Day Watch,18,AUTO THEFT,2404,Collier Heights,I,33.76705,-84.47558999999998
4256,90390518,2009-02-08,2009-02-07,1900,2009-02-08,842.0,112.0,,B,101 DOGWOOD DR NW,Day Watch,18,AUTO THEFT,2404,Collier Heights,I,33.78257,-84.49293
4257,90390600,2009-02-08,2009-02-08,0729,2009-02-08,854.0,109.0,D,,2500 CENTER ST,Day Watch,18,AUTO THEFT,2404,Carey Park,G,33.78592,-84.46926999999998
4258,90390625,2009-02-08,2009-02-08,0200,2009-02-08,600.0,301.0,,,1603 ATHENS AVE SW,Day Watch,13,AUTO THEFT,2404,Capitol View,X,33.71118,-84.40923999999998
4259,90390635,2009-02-08,2009-02-07,2000,2009-02-08,1030.0,407.0,,,552 OAKSIDE DR SW,Morning Watch,20,AUTO THEFT,2404A,Wisteria Gardens,H,33.75598,-84.51211999999998
4260,90390751,2009-02-08,2009-02-07,2300,2009-02-08,1216.0,406.0,,19,311 SCOTT ST SW,Morning Watch,18,AUTO THEFT,2404,,I,33.74956,-84.49594999999998
4261,90390807,2009-02-08,2009-02-07,2100,2009-02-08,1230.0,602.0,,W-1,828 RALPH MCGILL BLVD NE,Day Watch,18,AUTO THEFT,2404,Poncey-Highland,N,33.76763,-84.36058
4262,90390935,2009-02-08,2009-02-08,0200,2009-02-08,930.0,401.0,,,967 HOWELL PL SW,Evening Watch,20,AUTO THEFT,2404,West End,T,33.73928,-84.41916999999998
4263,90391460,2009-02-08,2009-02-08,1950,2009-02-08,2000.0,301.0,,,1376 ATHENS AVE SW,Evening Watch,20,AUTO THEFT,2404,Capitol View,X,33.71728,-84.40864
4264,90391511,2009-02-08,2009-02-08,1900,2009-02-08,1945.0,301.0,,,1344 METROPOLITAN PKWY SW,Evening Watch,18,AUTO THEFT,2404A,Capitol View Manor,X,33.71803,-84.40774
4265,90391602,2009-02-08,2009-02-08,0800,2009-02-08,2230.0,408.0,,,1364 WICHITA DR SW,Morning Watch,20,AUTO THEFT,2404,Venetian Hills,S,33.71833,-84.44186
